Customer ID,Full Name,Date of Purchase,Age,State,MTN Device,Gender,Satisfaction Rate,Customer Review,Customer Tenure in months,Subscription Plan,Unit Price,Number of Times Purchased,Total Revenue,Data Usage,Customer  Response,Customer  Status,Reasons for Churn
CUST0001,Ngozi Berry,25-Jan,27,Kwara,4G Router,Male,2,Fair,2,165GB Monthly Plan,35000,19,665000,44.48,Yes,Churn,Relocation
CUST0002,Zainab Baker,25-Mar,16,Abuja (FCT),Mobile SIM Card,Female,2,Fair,22,12.5GB Monthly Plan,5500,12,66000,19.79,Yes,Churn,Better Offers from Competitors
CUST0003,Saidu Evans,25-Mar,21,Sokoto,5G Broadband Router,Male,1,Poor,60,150GB FUP Monthly Unlimited,20000,8,160000,9.64,No,Active,
CUST0003,Saidu Evans,25-Mar,21,Sokoto,Mobile SIM Card,Male,1,Poor,60,1GB+1.5mins Daily Plan,500,8,4000,197.05,No,Active,
CUST0003,Saidu Evans,25-Mar,21,Sokoto,Broadband MiFi,Male,1,Poor,60,30GB Monthly Broadband Plan,9000,15,135000,76.34,No,Active,
CUST0004,Ejiro Walker,25-Mar,36,Gombe,4G Router,Female,1,Poor,14,10GB+10mins Monthly Plan,4500,9,40500,92.72,No,Active,
CUST0005,Nura Mann,25-Jan,57,Oyo,4G Router,Male,3,Good,53,25GB Monthly Plan,9000,16,144000,42.92,No,Active,
CUST0006,Tamuno Lewis,25-Feb,74,Plateau,Mobile SIM Card,Female,5,Excellent,9,7GB Monthly Plan,3500,5,17500,44.25,No,Active,
CUST0006,Tamuno Lewis,25-Feb,74,Plateau,5G Broadband Router,Female,5,Excellent,9,1.5TB Yearly Broadband Plan,150000,2,300000,18.64,No,Active,
CUST0006,Tamuno Lewis,25-Feb,74,Plateau,4G Router,Female,5,Excellent,9,65GB Monthly Plan,16000,6,96000,30.99,No,Active,
CUST0007,Boma Stewart,25-Mar,24,Jigawa,Broadband MiFi,Female,5,Excellent,39,120GB Monthly Broadband Plan,24000,11,264000,150.3,Yes,Churn,Relocation
CUST0008,Ifeanyi Park,25-Jan,53,Kwara,Broadband MiFi,Male,3,Good,30,300GB FUP Monthly Unlimited,30000,17,510000,168.41,No,Active,
CUST0009,Bala Robbins,25-Jan,35,Gombe,Broadband MiFi,Male,5,Excellent,35,300GB FUP Monthly Unlimited,30000,10,300000,175.81,No,Active,
CUST0010,Halima Ochoa,25-Mar,23,Imo,4G Router,Male,1,Poor,6,10GB+10mins Monthly Plan,4500,20,90000,53.38,No,Active,
CUST0010,Halima Ochoa,25-Mar,23,Imo,Broadband MiFi,Male,1,Poor,6,60GB Monthly Broadband Plan,14500,18,261000,192.89,No,Active,
CUST0010,Halima Ochoa,25-Mar,23,Imo,Mobile SIM Card,Male,1,Poor,6,500MB Daily Plan,350,13,4550,142.73,No,Active,
CUST0011,Ejiro Griffith,25-Feb,72,Bauchi,4G Router,Female,2,Fair,8,65GB Monthly Plan,16000,2,32000,14.66,Yes,Churn,Poor Network
CUST0011,Ejiro Griffith,25-Feb,72,Bauchi,5G Broadband Router,Female,2,Fair,8,60GB Monthly Broadband Plan,14500,2,29000,13.95,Yes,Churn,Poor Network
CUST0011,Ejiro Griffith,25-Feb,72,Bauchi,Broadband MiFi,Female,2,Fair,8,300GB FUP Monthly Unlimited,30000,8,240000,14.64,Yes,Churn,Poor Network
CUST0012,Zainab Morton,25-Mar,78,Ondo,4G Router,Male,2,Fair,47,65GB Monthly Plan,16000,12,192000,131.97,No,Active,
CUST0012,Zainab Morton,25-Mar,78,Ondo,Broadband MiFi,Male,2,Fair,47,60GB Monthly Broadband Plan,14500,2,29000,82.51,No,Active,
CUST0013,Ngozi Moreno,25-Jan,23,Kebbi,4G Router,Female,2,Fair,52,10GB+10mins Monthly Plan,4500,8,36000,56.07,Yes,Churn,Relocation
CUST0013,Ngozi Moreno,25-Jan,23,Kebbi,Mobile SIM Card,Female,2,Fair,52,3.2GB 2-Day Plan,1000,18,18000,88.9,Yes,Churn,Relocation
